Expanded Device Code (Hex),Description,Company Name,
60F0,CombiPress,Baumer,
61E0,A411-CONDI,Knick,
61E1,A411-COND,Knick,
61E2,A411-OXY,Knick,
61E3,A411-PH,Knick,
61E4,Stratos Pro CondI,Knick,
61E5,Stratos Pro Cond,Knick,
61E6,Stratos Pro OXY,Knick,
61E7,Stratos Pro pH,Knick,
61E8,2211 CondI,Knick,
61E9,2211 Oxy,Knick,
61EA,2211 Cond,Knick,
61EB,2211 pH,Knick,
62BE,VEGAPULS 64,VEGA,
62BF,VEGADIF 80 series SIL,VEGA,
62C0,VEGADIF 80 series,VEGA,
62C1,VEGAPULS 69,VEGA,
62C2,VEGABAR 80 series SIL,VEGA,
62C3,VEGABAR 80 series,VEGA,
62C4,POINTRAC 31  SIL,VEGA,
62C5,POINTRAC 31,VEGA,
62C6,VEGAPULS SR 68,VEGA,
62C7,VEGAPULS WL 61,VEGA,
62C8,FIBERTRAC 31,VEGA,
62C9,FIBERTRAC 32,VEGA,
62CA,SOLITRAC 31,VEGA,
62CB,MINITRAC 31,VEGA,
62CC,MINITRAC 32,VEGA,
62CD,MINITRAC 33,VEGA,
62CE,WEIGHTRAC 31,VEGA,
62CF,WEIGHTRAC 32,VEGA,
62D0,MINITRAC 33 SIL,VEGA,
62D1,MINITRAC 32 SIL,VEGA,
62D2,MINITRAC 31 SIL,VEGA,
62D3,SOLITRAC 31 SIL,VEGA,
62D4,VEGAFLEX 80 series SIL,VEGA,
62D5,VEGAFLEX 80 series,VEGA,
62D6,VEGAPULS 68,VEGA,
62D7,VEGAPULS 67,VEGA,
62D8,VEGAPULS 66,VEGA,
62D9,VEGAPULS 65,VEGA,
62DA,VEGAPULS 63,VEGA,
62DB,VEGAPULS 62,VEGA,
62DC,VEGAPULS 61,VEGA,
62DE,FIBERTRAC 32 SIL,VEGA,
62DF,FIBERTRAC 31 SIL,VEGA,
62E1,VEGADIF 65,VEGA,
62E2,VEGABAR 5x/6x,VEGA,
63ED,M-Series,MTS Systems Corp.,
63EF,LP-Series,MTS Systems Corp.,
6464,ULTRAOVAL,Oval,
6465,ExDelta,Oval,
6484,,,
6468,ALTImass2,Oval,
646E,9401 Mass flo,Oval,
646F,9801 Mass flo,Oval,
6470,9201 Mass flo,Oval,
647B,9431 Mass flo,Oval,
6482,ALTImass,Oval,
6484,Psonic-L4,Oval,
6564,HDLT,GE Masoneilan,
6565,12400 DLT,GE Masoneilan,
65C8,SVI,GE Masoneilan,
65C9,SVI2,GE Masoneilan,
65CA,SVI II AP,GE Masoneilan,
65CB,SVI II ESD,GE Masoneilan,
65CC,SVi1000,GE Masoneilan,
65CD,VECTOR,GE Masoneilan,
65CE,SVI II AP /H6,GE Masoneilan,
65CF,SVI II ESD /H6,GE Masoneilan,
65EF,SVi1000 H/7,GE Masoneilan,
66EF,CLS 4-20,BESTA,
67E0,DSTH/LSTH,Ohmart,
67E1,DSTH/LSTH Comp,Ohmart,
6801,ESR-D,"Harold Beck and Sons, Inc.",
680A,BECK-DCM,"Harold Beck and Sons, Inc.",
68EF,BECK-MK2,"Harold Beck and Sons, Inc.",
69E9,MGRH.x,Rittmeyer Instrumentation,
6BE8,LF-/LW-1,WIKA,
6BE9,UPT-2x,WIKA,
6BEB,DPT,WIKA,
6BEC,IPT,WIKA,
6BEE,UniTrans,WIKA,
6BEF,T32,WIKA,
6CEB,UMC2,Bopp & Reuther Messtechnik,
6CEC,ES,Bopp & Reuther Messtechnik,
6CED,VTX,Bopp & Reuther Messtechnik,
6CEE,DIMF,Bopp & Reuther Messtechnik,
6CEF,UST 1,Bopp & Reuther Messtechnik,
6DDF,T55,PR Electronics,
6DE6,PR5437,PR Electronics,
6DE7,PR 7501H7,PR Electronics,
6DE8,PR 3113,PR Electronics,
6DE9,PR 3337,PR Electronics,
6DEA,PR 6337,PR Electronics,
6DEB,PR 5337,PR Electronics,
6DEE,PRetrans 6335,PR Electronics,
6DEF,PR5335 / PR7501H5,PR Electronics,
6EDD,Actuator,Rotork Process Controls,
71EE,MT115,Apparatebau Hundsbach,
72DE,SPX,Dynisco,
72DF,IPXII,Dynisco,
72E0,IPX,Dynisco,
74EF,DMC R-1A,Direct Measurement,
75EE,Klay 4000 Pressure/Level,Klay Instruments,
75EF,Klay 2000 Pressure/Level,Klay Instruments,
76ED,VF-100,CiDRA CORP.,
76EE,GVF-100,CiDRA CORP.,
76EF,VFGVF-100,CiDRA CORP.,
78DF,8188/8189,Buerkert Fluid Control Systems,
78EF,8630,Buerkert Fluid Control Systems,
79EE,TruFlow,Venture Measurement,
79EF,FORCEmeter,Venture Measurement,
7CEE,M33-53P,GLI,
7CEF,M33-53C,GLI,
7EE0,SMT-EL,Paper Machine Components,
7EE1,SMT/EL-II,Paper Machine Components,
7F3C,PASCAL CI,LABOM,
7FE0,IPX,LABOM,
7FEB,PASCAL CI4 LEVEL,LABOM,
7FEC,PASCAL CI4,LABOM,
7FEF,Pascal CV,LABOM,
8003,MAGFLO,Danfoss,
817F,Intermag-Transmag,Turbo,
8250,FW9000NN,TOKYO KEISO,
8259,AM3/H,TOKYO KEISO,
8260,NLZ/H,TOKYO KEISO,
8261,FST4000,TOKYO KEISO,
8262,UME1000,TOKYO KEISO,
8263,AM/T,TOKYO KEISO,
8265,AM/H,TOKYO KEISO,
8267,VFC 070,TOKYO KEISO,
827B,FW-9000,TOKYO KEISO,
827F,FST-3000,TOKYO KEISO,
837D,IP8001,SMC,
837E,IP8101,SMC,
83EF,F793-E701,SMC,
84EF,SEM 300,Status Instruments,
857F,HK TT01,Huakong,
8661,APT3200,Duon System,
8667,APT3700N,Duon System,
866B,APT3100,Duon System,
8673,ATT2200,Duon System,
8675,ATT2100S,Duon System,
867B,APT3500,Duon System,
867E,ALT6100,Duon System,
8701,Pro-V,"Vortek Instruments, LLC",
89EF,T798,Action Instruments,
8C88,LTM-100,ISE-Magtech,
8C89,LTM-300,ISE-Magtech,
8C8A,LTM-350,ISE-Magtech,
8D01,S95 HRT,Rueger,
8D7F,S95.3U_2,Rueger,
8E74,M420 Cond Ind,Mettler Toledo,
8E75,M420 Cond,Mettler Toledo,
8E76,M420 O2,Mettler Toledo,
8E77,M420 pH,Mettler Toledo,
8E78,CondI7100,Mettler Toledo,
8E79,O2 4100e,Mettler Toledo,
8E7A,Cond7100,Mettler Toledo,
8E7B,pH 2100,Mettler Toledo,
8E7C,M400,Mettler Toledo,
8E7D,M100,Mettler Toledo,
8F73,LS2000,Det-Tronics,
8F74,ATX10,Det-Tronics,
8F75,Eclipse_CO2,Det-Tronics,
8F76,X2200,Det-Tronics,
8F77,X5200,Det-Tronics,
8F78,X9800,Det-Tronics,
8F79,X3302,Det-Tronics,
8F7A,UD10,Det-Tronics,
8F7B,GT3000,Det-Tronics,
8F7C,X3301,Det-Tronics,
8F7E,OPECL_RX,Det-Tronics,
8F7F,Eclipse,Det-Tronics,
907C,MS2011,Thermo Measure Tech,
907D,NDMi,Thermo Measure Tech,
907E,Accu-Wave,Thermo Measure Tech,
907F,NCMi,Thermo Measure Tech,
91EF,Positioner,DeZURIK,
927F,Analyzer,Phase Dynamics,
937A,WT3600,WELLTECH SHANGHAI,
937B,WT3000,WELLTECH SHANGHAI,
937C,WT2000,WELLTECH SHANGHAI,
9977,METRAN-303PR,Metran,
9979,METRAN-150,Metran,
997B,METRAN-390,Metran,
997C,METRAN-300PRM,Metran,
997D,METRAN-49,Metran,
997E,METRAN-280,Metran,
997F,METRAN-100,Metran,
9A7F,P Series,Milton Roy Co.,
9BD3,D3,PMV,
9C01,KMU-HLI,Turck,
9D70,x868,Panametrics,
9D77,XMT900,Panametrics,
9D79,XMT1000 UFM,Panametrics,
9D7F,SEN898,Panametrics,
9E01,ICS MUX FBS,R. Stahl,
9E02,ICS 1000,R. Stahl,
9E03,VOS 200,R. Stahl,
9E04,ICS modul 9148,R. Stahl,
9E05,I.S. 1 Remote I/O,R. Stahl,
9E06,IS pac 9192 16 ch,R. Stahl,
9E07,IS pac 9192 32 ch,R. Stahl,
9F7F,D12,Analytical Technology Inc.,
A002,PIR 2000,FINT,
A075,T810,FINT,
A076,T310,FINT,
A078,T210,FINT,
A0ED,OXI5000,FINT,
A175,LB414,BERTHOLD,
A179,LB480 Density,BERTHOLD,
A17A,LB480 Level,BERTHOLD,
A17B,LB480 LevelSwitch,BERTHOLD,
A17C,LB466,BERTHOLD,
A17D,LB491,BERTHOLD,
A17E,LB460,BERTHOLD,
A17F,LB490,BERTHOLD,
A2EF,SMARTCET 18C,InterCorr,
A57F,Sierra i Series,Sierra Instruments,
A678,ST98,Fluid Components,
A67E,ST50 product family,Fluid Components,
A67F,ST100 Series,Fluid Components,
A87F,M3500,Meriam Instrument,
A92E,I/A Pressure,Invensys,
A934,CFT50,Invensys,
A97F,Triconex AI 3723/X,Invensys,
AB01,SmartCal,Tyco Valves & Controls,
B301,Centurion Guided Radar Device,Hawk,
AD00,GasFlowMeter,J-Tec Associates,
AD01,LiquidFlowMeter,J-Tec Associates,
AE7A,T215,TRACERCO,
AE7B,T251,TRACERCO,
AE7E,PRI-160,TRACERCO,
AE7F,PRI-150,TRACERCO,
AE9F,Level Combination Unit,TRACERCO,
AF7E,ID200,AGAR,
B001,MCR-TS-LP,Phoenix Contact,
B002,MCR-HT-TS,Phoenix Contact,
B003,MACX MCR-S-MUX 16 ch,Phoenix Contact,
B004,MACX MCR-S-MUX 32 ch,Phoenix Contact,
B010,RAD-WHG/WLAN-XD,Phoenix Contact,
B011,RAD-WHA,Phoenix Contact,
B012,GW PL ETH/BASIC-BUS,Phoenix Contact,
B013,GW PL ETH/UNI-BUS,Phoenix Contact,
B27F,Model 32E,Amer. Level Instr.,
B401,YT-2300,YTC,
B402,YT-2400,YTC,
B403,YT-2500,YTC,
B404,YT-2600,YTC,
B405,YT-2700,YTC,
B407,YT-3400,YTC,
B409,YT-3300,YTC,
B40A,SPTM,YTC,
B57F,Series442,Pyromation Inc.,
B580,Series642,Pyromation Inc.,
B581,T82,Pyromation Inc.,
B582,Series662,Pyromation Inc.,
B67F,V-series,Satron Instruments,
B77C,HRT_IMVS2000v2,BIFFI,
B77D,HRTIMVS2000,BIFFI,
B77E,HRT2000v4,BIFFI,
B87F,ID/AI,"Shanghai Automation Instrumentation Co.,Ltd.",
B920,LMK387H,BD Sensors,
B97F,D331A,BD Sensors,
BC7A,LI-24,APLISENS,
BC7B,APC-2000ALW,APLISENS,
BD01,Primo Advanced,Badger Meter,
BD02,M2000,Badger Meter,
BD03,RCT1000,Badger Meter,
BE7E,HIMax Safety System,HIMA,
BE7F,H 6210 Safety Mux,HIMA,
BF7C,MDL 400,GP:50,
C0EF,GT400,Kongsberg Maritime,
C101,C/G Asameter /H,ASA S.p.A.,
C221,TE 52,Hengesbach,
C374,LSIII Pressure,Lanlian Instruments,
C401,I/O Module,Spectrum Controls,
C580,KC/3,Kajaani Process Measurements,
C581,KC/5,Kajaani Process Measurements,
C680,TORRIX,FAFNIR,
C780,FLOWSIC 600,SICK MAIHAK,
C781,FLOWSIC 100,SICK MAIHAK,
C782,FLOWSIC 30,SICK MAIHAK,
CA80,SP301,Spirax Sarco Plc,
CA81,SP500,Spirax Sarco Plc,
CA82,WirelessTEG Module,Spirax Sarco Plc,
CA90,EFT10,Spirax Sarco Plc,
CC80,CH420L,Tecfluid S.A.,
CC81,CH420R,Tecfluid S.A.,
CE80,EPP300,Roost,
CF80,EP1000/SPS2000,KOSO,
CF81,EP1001,KOSO,
D280,XNX,Honeywell Analytics,
D281,Optima+,Honeywell Analytics,
D282,FSXHCOM,Honeywell Analytics,
D380,PAD,HEINRICHS,
D381,PAS,HEINRICHS,
D382,PAD-F,HEINRICHS,
D383,DVH/DVE,HEINRICHS,
D3EA,UMF3,HEINRICHS,
D480,PES,SIC,
D481,PDS,SIC,
D482,HVP,SIC,
D485,HVP1114,SIC,
D486,FLOW MASTER,SIC,
D489,M8400_H,SIC,
D580,SI792P,HACH LANGE,
D581,SI792C,HACH LANGE,
D582,SI792T,HACH LANGE,
D583,SI792E,HACH LANGE,
D584,SI792D,HACH LANGE,
D586,sc200 pH/ORP Module,HACH LANGE,
D587,LDO,HACH LANGE,
D588,sc200 Contacting Conductivity Module,HACH LANGE,
D589,sc200 Inductive Conductivity Module,HACH LANGE,
D58A,sc200 DO Module,HACH LANGE,
D58B,sc200 Ultrasonic Flow Module,HACH LANGE,
D58C,Surface Scatter 7 Turbidimeter,HACH LANGE,
D58D,sc200 4-20mA Analog Input Module,HACH LANGE,
D58E,sc pH/ORP Differential,HACH LANGE,
D58F,FP360sc,HACH LANGE,
D590,TSSsc,HACH LANGE,
D591,1720E Turbidimeter,HACH LANGE,
D5AF,LDO 2,HACH LANGE,
D5B0,sc200 Conductivity Module \D0 Configured for CCO,HACH LANGE,
D5B1,sc200 Conductivity Module \D0 Configured for ICO,HACH LANGE,
D5B2,sc200 pH Module,HACH LANGE,
D5B3,sc200 Amperometric Module - configured for DO,HACH LANGE,
D5B4,sc200 Amperometric Module \D0 Configured for O2 SCAVENGER,HACH LANGE,
D980,Safir,Manometr-Kharkiv,
DB80,SharpEye,Spectrex,
DB81,SafEye,Spectrex,
DB82,Quasar,Spectrex,
DF80,FL4000,"General Monitors, Inc.",
DF81,S4000CH,"General Monitors, Inc.",
DF82,S4000TH,"General Monitors, Inc.",
DF83,IR400,"General Monitors, Inc.",
DF84,IR4000,"General Monitors, Inc.",
DF85,S4100CH,"General Monitors, Inc.",
DF87,IR5500,"General Monitors, Inc.",
DF88,IR700,"General Monitors, Inc.",
DF89,TS4000H,"General Monitors, Inc.",
DF90,FL3100H/FL3101H,"General Monitors, Inc.",
DF95,Observer-H / UltraSonic EX-5,"General Monitors, Inc.",
DF96,Observer i,"General Monitors, Inc.",
E080,ESD3000,ExSaf,
E081,Sensor Don,Etalon Rus,
E082,SDT420,SEOJIN INSTECH,
E083,RT-Ex15,TASI FLOW,
E084,SS,Daehan Control,
E085,3DLevelScanner M,APM,
E086,3DLevelScanner S,APM,
E087,3DLevelScanner L,APM,
E088,EX200H Positioner,ORANGE INST. UK,
E089,IS200H Positioner,ORANGE INST. UK,
E08A,R3x,BARTEC,
E08B,Detcon HRT Bridge,Detcon,
E08C,UltimaXL/XT,MSA,
E08D,CMM-01 MASS FLOW,METROVAL,
E08E,JLT-6000,JOGLER,
E08F,SMARTRONIC MA,KSB,
E090,CMS Standard,Richter CT,
E091,Millennium II,NET SAFETY,
E092,HIM1008,SECanada,
E093,CXT,SUPCON,
E094,CJT,SUPCON,
E095,HBM - 165 H,DKK - TOA,
E096,HBM - 167 H,DKK - TOA,
E097,WBM - 165 H,DKK - TOA,
E098,OBM - 165 H,DKK - TOA,
E099,OBM - 167 H,DKK - TOA,
E09A,MBM - 165 H,DKK - TOA,
E09B,MBM - 167 H,DKK - TOA,
E09C,Mark Series,Dwyer Instruments,
E09D,TR,FineTek,
E09E,Millennium 2 Basic,NET SAFETY,
E09F,UltimaXEH,MSA,
E0A1,HRT1,HOFFER FLOW CNTRLS,
E0A2,DN2510 SmartMesh,DUST NETWORKS,
E0A3,M2510 SmartMesh,DUST NETWORKS,
E0A4,PM2510 SmartMesh,DUST NETWORKS,
E0A5,VFM 4097,Forbes Marshall,
E0A6,IFC 031,Forbes Marshall,
E0A7,IFC 021,Forbes Marshall,
E0A8,Aquacon-SMARTPro-8967,Forbes Marshall,
E0A9,Aquamon-SMARTPro-8966,Forbes Marshall,
E0AA,AquaDO-SMARTPro-8968,Forbes Marshall,
E0AB,AM-2000,"All Measures, Ltd.",
E0AC,Wireless Adapter,MACTek,
E0AD,CSI 9420,CSI,
E0AE,KMS-2,TC Fluid Control,
E0AF,MWT-3905,Rohrback Cosasco,
E0B0,UWT-1000,Rohrback Cosasco,
E0B1,CWT-9020,Rohrback Cosasco,
E0B2,A-1000 H,AirSprite,
E0B3,NCS-PT105 II,Microcyber Inc.,
E0B4,STF,SEOJIN INSTECH,
E0B5,SMF,SEOJIN INSTECH,
E0B6,TY-TDS-P,TIG,
E0B7,TY-TRANS-F,TIG,
E0B8,TY-TRANS-L,TIG,
E0B9,TY-TRANS-PS,TIG,
E0BA,TY-TRANS-A,TIG,
E0BB,PMH,ifm prover Gmbh,
E0BC,FlameGard,MSA,
E0BD,FLUXUS,FLEXIM,
E0BE,MRG-10,TOKYO KEIKI INC.,
E0BF,MRF-10,TOKYO KEIKI INC.,
E0C0,ULTRAMATE 136-ULT,SBEM,
E0C1,Flow Control System,"SkoFlo Industries, Inc.",
E0C2,Axiom,StoneL Corporation,
E0C3,EUMAG,EUREKA FLOW,
E0C4,BA47X/67X SERIES,BEKA associates,
E0C5,MTRT,EUREKA FLOW,
E0C6,CAP-30xx,CAPSTAR AUTOMATION,
E0C7,Nemesis 1000,Pulsar,
E0C8,CVM-01,METROVAL,
E0C9,TDM-01,METROVAL,
E0CA,AIR-10H,Elemer,
E0CB,AIR-20H,Elemer,
E0CC,AIR-30H,Elemer,
E0CD,Frankenstein,Soft Tech Group,
E0CE,4310 Valve Monitor,TopWorx Inc.,
E0CF,NCS-PT105II-SP,Microcyber Inc.,
E0D0,NCS-TT105,Microcyber Inc.,
E0D1,WIDEPLUS-BA,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E0D2,WIDEPLUS-A,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E0D3,OXITEC 5000,ENOTEC GmbH,
E0D4,COMTEC 6000,ENOTEC GmbH,
E0D5,IHP,Val Controls A/S,
E0D6,IDP,Val Controls A/S,
E0D7,MFT B-Series,Kurz Instruments,
E0D8,MICROGUIDE 132-TDR,SBEM,
E0D9,MICROMATE 138-PLR,SBEM,
E0DA,8000 Series,TASI FLOW,
E1B4,RT-30,TASI FLOW,
E0DB,SGH350,E-Senza Technologies,
E0DC,IRmax,Crowcon,
E0DD,IR-Display,Crowcon,
E0DE,TiXo3,GEORGIN,
E0DF,JB-MPHF Series,NET SAFETY,
E0E0,Master-Touch,Eldridge Products,
E0E1,DLT9000,DDTOP,
E0E2,FFG-P Level Sensor,KSR Kuebler,
E0E3,ST5700 SteamTrap,Armstrong Intl,
E0E4,AD5000 Acoustic,Armstrong Intl,
E0E5,TD5100 Temp,Armstrong Intl,
E0E6,N7,Hitachi High-Tech,
E0E7,Sapphire-22,Elemer,
E0E8,Elemer-100,Elemer,
E0E9,A2 4-20mA HRT,AMFLOW,
E0EA,F018p,Fluidwell,
E0EB,4350 On/Off Valve Controller,TopWorx Inc.,
E0EC,EST3051T,ExSaf,
E0ED,EST3051S,ExSaf,
E0EE,mag-flux M,Mecon,
E0EF,Fox FT3,Fox Thermal Inst.,
E0F0,Prototype Unit,EJMConsulting,
E0F1,Freq --> mA,HOFFER FLOW CNTRLS,
E0F2,SafEye,MSA,
E0F3,PrimaX,MSA,
E0F4,L-Dens 427T,Anton Paar,
E0F5,ULM-70,"Dinel, s.r.o.",
E0F6,PrimaX IR,MSA,
E0F7,GD10,Simtronics ASA,
E0F8,MWT-WE,Rohrback Cosasco,
E0F9,SPIROSTER-07,INTEC,
E0FA,TxConfig-HRT,Novus Automation,
E0FB,Q.Sonic series 6,Elster-Instromet,
E0FE,HFT 3100,HYDAC ELECTRONIC,
E180,FSCHCOM,Fire Sentry Corp,
E181,Magnetostrictive Lvl,FUTURE INSTRUMENT,
E182,RF Level Transmitter,FUTURE INSTRUMENT,
E183,Radar Lvl Transmitter,FUTURE INSTRUMENT,
E184,EA10S,MOTOYAMA,
E185,NCS-FT105,Microcyber Inc.,
E186,NCS-LT105,Microcyber Inc.,
E187,NCS-AT105,Microcyber Inc.,
E188,NCS-MH105,Microcyber Inc.,
E189,NCS-POS105,Microcyber Inc.,
E18A,SMART Actuator,MORGAN KOREA,
E18B,Warrior Sensor,AWIATECH,
E18C,iScan2,Chentronics,
E18D,TX200H,United Electric,
E18E,MWT-QS,Rohrback Cosasco,
E18F,ELMAG 151,SBEM,
E190,FST-3000,"Shanghai Sinoto Instrument Co., Ltd",
E191,SF10E,SUPCON,
E192,WD-H,Softing,
E193,MWLM-PR26,MATSUSHIMA,
E194,Position Xmitter,TopWorx Inc.,
E195,SB350,E-Senza Technologies,
E196,VCM-01,METROVAL,
E197,PTC VR SENSOR,Westcontrol AS,
E198,OLCT 200,Oldham,
E199,IPM 0399/M0-H,Elemer,
E19A,TPU 0304/M1-H,Elemer,
E19B,TPU 0304/M2-H,Elemer,
E19C,SGOES,ESP Safety,
E19D,OperaFCS,WooriTG,
E19E,TMS-HPS,trianglemicrosol,
E19F,MFI 860 NivoMag,Nivo Controls Pvt Ltd,
E1A0,VL10,Nivis LLC,
E1A1,VS220,Nivis LLC,
E1A2,CMWA 8800,SKF USA,
E1A3,AT2000,HollySys,
E1A4,RPW01,INTEC,
E1A5,X-MATIK,INTEC,
E1A6,XI,INTEC,
E1A7,Level Sensor,FineTek,
E1A8,Corrosion,Korosi Specindo,
E1A9,DM-TV6 & DF-TV7,Simtronics ASA,
E1AA,IT Series,Sierra Monitor,
E1AB,Vector Field Control Unit,ESP Safety,
E1AC,EFTN,DDTOP,
E1AD,DTU100,DDTOP,
E1AE,MTL100,DDTOP,
E1AF,DLC3010,DDTOP,
E1B0,FLOW100,DDTOP,
E1B1,HRM V1.00,Schneider Electric,
E1B2,Wireless Interface,Emerson,
E1B3,H COMM,GF Signet,
E1B5,SD-1,RIKEN KEIKI,
E1B6,ABM200-xxxRxCH,ABM Sensor Tech,
E1B7,DPU100,DDTOP,
E1B8,DLU100,DDTOP,
E1B9,DFU100,DDTOP,
E1BA,ELMAG200M,"EEPL,PUNE,INDIA",
E1BB,TICO Flow Meter,Thermal Inst. Co.,
E1BC,HDA 4000,HYDAC ELECTRONIC,
E1BD,DAIX,GNEUSS,
E1BE,PTC VR SENSOR (wireless),Westcontrol AS,
E1BF,EIM CAM06,Valve Automation,
E1C0,CorrLog Wireless,Roxar,
E1C1,EIM CAM206,Valve Automation,
E1C2,EIM CAM06 H5,Valve Automation,
E1C3,GTD2000,"GASTRON CO.,LTD",
E1C4,VisiPro DO,HAMILTON Bonaduz,
E1C5,dBI,Pulsar,
E1C6,GIR-3000,"GASTRON CO.,LTD",
E1C7,isNet Line,ifak system,
E1C8,LCAMP-1XX,Nobel Weighing Systems,
E1C9,T80 Transmitter,ECD,
E1CA,WiTECK Stack Starter Kit,Softing,
E1CB,Tia3,GEORGIN,
E1CC,RF Cap. Level Switch,FUTURE INSTRUMENT,
E1CD,Fork Level Switch,FUTURE INSTRUMENT,
E1CE,SEC5000IREvolution,Sensor Electronics,
E1CF,IHP24-A,Val Controls A/S,
E1D0,ELDS 1000/2000,Senscient,
E1D1,KEF,"Shanghai Kent Instrument Co.,Ltd.",
E1D2,EX210H,ORANGE INST. UK,
E1D3,DN2600 / LTC5800-WHM,DUST NETWORKS,
E1D4,Meridian Gas Detector-Wired,Scott Safety,
E1D5,DM & DG gas detector,Simtronics ASA,
E1D6,AT3000,HollySys,
E1D7,AT3600,HollySys,
E1D8,WIDEPLUS-RD,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E1D9,WP-EMF,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E1DA,WIDEPLUS-ZF,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E1DB,WIDEPLUS-UM,"FUJIAN WIDEPLUS PRECISION INSTRUMENTS CO., LTD",
E1DC,Target Flowmeter,"Welkin Co., Ltd.",
E1DD,TGAES Open-Path,ESP Safety,
E1DE,Crocus,Teplopribor,
E1DF,TriboDSP3400H,Auburn Systems,
E1E0,50WM,Therm-O-Disc,
E1E1,MAT/MATD/MATS,SWISA Corporation,
E1E2,SAGE PRIME-RIO,"Sage Metering, Inc.",
E1E3,Banshee 343,NET SAFETY,
E1E4,315-WH-GT Wireless Gateway,Cooper Bussmann,
E1E5,TJIU406-M100,FSUE VNIIA,
E1E6,GDU-02-Incus,Groveley Detection,
E1E7,BIS 1000-APT,HYDAC ELECTRONIC,
E1E8,ZPZD31,Hengyang No. Photoelectric Info Tech Co,
E1E9,KRG-10,TOKYO KEIKI INC.,
E1EA,iTrans 2,Oldham,
E1EB,52WM Series,Therm-O-Disc,
E1EC,ST-4312,Imtex Controls Ltd,
E1ED,Meridian Gas Detector-Wireless,Scott Safety,
E1EE,SSS903M series,Electronstandart-pribor,
E1EF,ME Transmitter,Universal Flow,
E1F0,IVC24,Val Controls A/S,
E1F1,AIR-10SH,Elemer,
E1F2,AIR-10SH-I,Elemer,
E1F3,iSensGP,vMonitor,
E1F4,TGAES-TX,Electronstandart-pribor,
E1F5,TGAES-RX,Electronstandart-pribor,
E1F6,AM-9898,Amtec Corporation,
E1F7,ITEL,MTI,
E1F8,TT648,BJZRZC,
E1F9,Sensor Don_Temp,Etalon Rus,
E1FA,HM-VC12500,"Volcatek Co., Ltd",
E1FB,GTD-3000,"GASTRON CO.,LTD",
E1FC,GTD-5000F,"GASTRON CO.,LTD",
E1FD,AUMATIC AC 01.2/ACEx 01.2,AUMA,
E1FE,SIPOS 5 Flash/HiMod,AUMA,
E1FF,DS8500,Maxim,
E280,LevelTouch M,Teplopribor,
E281,ABM200xxxULCHALxxx,ABM Sensor Tech,
E282,H3051,BJZRZC,
E283,H812FZ,BJZRZC,
E284,H770CZ,BJZRZC,
E285,H Pres Transmitter,Gefran S.p.A.,
E286,E2T PULSAR 4,Lumasense Technologies,
E287,BMEAHI0812,Schneider Electric,
E288,BMEAHO0412,Schneider Electric,
E289,SA1000,Advanced Sensors Ltd,
E28A,LevelTouch F,Teplopribor,
E28B,CAM16,Valve Automation,
E28C,CAM216,Valve Automation,
E28D,MP100,3S,
E28E,Awia Sentry A,AWIATECH,
E28F,IH series,akYtec GmbH,
E290,EX100,Advanced Sensors Ltd,
E291,EX1000,Advanced Sensors Ltd,
E292,EX1000M,Advanced Sensors Ltd,
E293,EX1000P,Advanced Sensors Ltd,
E294,EX1000P2,Advanced Sensors Ltd,
E295,EX100M,Advanced Sensors Ltd,
E296,EX100P,Advanced Sensors Ltd,
E297,EX100P2,Advanced Sensors Ltd,
E298,EX400M,Advanced Sensors Ltd,
E299,SA100,Advanced Sensors Ltd,
E29A,TM1000,Advanced Sensors Ltd,
E29B,MC608,Euromag International S.r.l.,
E29C,SA1000P,Advanced Sensors Ltd,
E29D,SA100P,Advanced Sensors Ltd,
E29E,SA100P2,Advanced Sensors Ltd,
E29F,SA1000P2,Advanced Sensors Ltd,
E2A0,WT200 Series Sensor,Permasense,
E2A1,SS235,Daehan Control,
E2A2,EMF 1000 Series,Walsn,
E2A3,CMF 2000 Series,Walsn,
E2A6,L-mag,Microcyber Inc.,
E2A7,HDA 4000-T,HYDAC ELECTRONIC,
E2A8,ETS 4000,HYDAC ELECTRONIC,
E2A9,ETS 4000-P,HYDAC ELECTRONIC,
E2AA,BIS 1100,HYDAC ELECTRONIC,
E2AB,BIS 1200,HYDAC ELECTRONIC,
E2AC,BIS 1300,HYDAC ELECTRONIC,
E2AD,ML210-ME101,Isoil-Hemina,
E2AE,PFLEX,SENSE,
E2AF,DNM,Xact Sensing LLC,
E2B0,GD1,Simtronics ASA,
E2B1,AM3400,Scan-Sense AS,
E2B2,iCT 1070,PSM Instrumentation Ltd,
E2B3,SmartPoz_8400S,Forbes Marshall,
E2B4,DAK,SPA ANALITPRIBOR,
E2B6,CC35,Nuoan,
E2B7,EC35,Nuoan,
E2B8,SNE4100B,Nuoan,
E2B9,HT1,Define Instruments,
E2BA,DAT,SPA ANALITPRIBOR,
E2BB,DAH,SPA ANALITPRIBOR,
E2BC,SCL-71 Flowmeter,Huizhong,
E2BD,DF-8500 H,MSA,
E2BE,Pulse Flow Meter,Precision Digital,
